,mm_lon,mm_lat,edge_id,pos,dev,type
86,-122.10231,47.667614,10,1.0,6.102,interpolated
87,-122.10231,47.667614,10,1.0,6.102,interpolated
88,-122.10231,47.667614,10,1.0,6.102,interpolated
89,-122.10231,47.667614,10,1.0,6.102,interpolated
90,-122.10231,47.667614,10,1.0,6.102,interpolated
91,-122.10231,47.667614,10,1.0,6.102,interpolated
92,-122.10231,47.667614,10,1.0,6.102,interpolated
93,-122.10231,47.667614,10,1.0,6.102,interpolated
94,-122.10231,47.667614,10,1.0,6.102,interpolated
95,-122.10231,47.667614,10,1.0,6.102,interpolated
96,-122.10231,47.667614,10,1.0,6.102,interpolated
97,-122.10231,47.667614,10,1.0,6.102,interpolated
98,-122.10231,47.667614,10,1.0,6.102,interpolated
99,-122.102295,47.667618,11,0.112,4.424,interpolated
100,-122.102295,47.667618,11,0.112,4.424,interpolated
101,-122.102295,47.667618,11,0.112,4.424,interpolated
102,-122.102295,47.667618,11,0.112,4.424,interpolated
103,-122.102295,47.667618,11,0.112,4.424,interpolated
104,-122.102295,47.667618,11,0.112,4.424,interpolated
105,-122.102295,47.667618,11,0.112,4.424,interpolated
106,-122.102295,47.667618,11,0.112,4.424,interpolated
107,-122.102295,47.667618,11,0.112,4.424,interpolated
108,-122.102295,47.667618,11,0.112,4.424,interpolated
109,-122.102295,47.667618,11,0.112,4.424,interpolated
110,-122.102295,47.667618,11,0.112,4.424,interpolated
111,-122.102295,47.667618,11,0.112,4.424,interpolated
112,-122.102295,47.667618,11,0.112,4.424,interpolated
113,-122.102295,47.667618,11,0.112,4.424,interpolated
114,-122.102295,47.667618,11,0.112,4.424,interpolated
115,-122.102295,47.667618,11,0.112,4.424,interpolated
116,-122.102295,47.667618,11,0.112,4.424,interpolated
117,-122.102295,47.667618,11,0.112,4.424,interpolated
118,-122.102295,47.667618,11,0.112,4.424,interpolated
119,-122.102295,47.667618,11,0.112,4.424,interpolated
120,-122.102295,47.667618,11,0.112,4.424,interpolated
121,-122.102295,47.667618,11,0.112,4.424,interpolated
122,-122.102295,47.667618,11,0.112,4.424,interpolated
123,-122.102295,47.667618,11,0.112,4.424,interpolated
124,-122.102295,47.667618,11,0.112,4.424,interpolated
125,-122.102295,47.667618,11,0.112,4.424,interpolated
126,-122.102295,47.667618,11,0.112,4.424,interpolated
127,-122.102295,47.667618,11,0.112,4.424,interpolated
128,-122.102295,47.667618,11,0.112,4.424,interpolated
129,-122.102295,47.667618,11,0.112,4.424,interpolated
130,-122.102295,47.667618,11,0.112,4.424,interpolated
131,-122.102295,47.667618,11,0.112,4.424,interpolated
132,-122.102295,47.667618,11,0.112,4.424,interpolated
133,-122.102295,47.667618,11,0.112,4.424,interpolated
134,-122.102295,47.667618,11,0.112,4.424,interpolated
135,-122.102295,47.667618,11,0.112,4.424,interpolated
136,-122.102295,47.667618,11,0.112,4.424,interpolated
137,-122.102295,47.667618,11,0.112,4.424,interpolated
138,-122.102295,47.667618,11,0.112,4.424,interpolated
139,-122.102295,47.667618,11,0.112,4.424,interpolated
140,-122.10231,47.667614,11,0.0,4.068,interpolated
141,-122.10231,47.667614,11,0.0,4.068,interpolated
142,-122.10231,47.667614,11,0.0,4.068,interpolated
143,-122.10231,47.667614,11,0.0,4.068,interpolated
144,-122.10231,47.667614,11,0.0,4.068,interpolated
145,-122.10231,47.667614,11,0.0,4.068,interpolated
146,-122.10231,47.667614,11,0.0,4.068,interpolated
147,-122.10231,47.667614,11,0.0,4.068,interpolated
148,-122.10231,47.667614,11,0.0,4.068,interpolated
149,-122.10231,47.667614,11,0.0,4.068,interpolated
150,-122.10231,47.667614,11,0.0,4.068,interpolated
151,-122.10231,47.667614,11,0.0,4.068,interpolated
152,-122.10231,47.667614,11,0.0,4.068,interpolated
153,-122.10231,47.667614,11,0.0,4.068,interpolated
154,-122.102295,47.667618,11,0.112,4.424,interpolated
155,-122.102295,47.667618,11,0.112,4.424,interpolated
156,-122.102295,47.667618,11,0.112,4.424,interpolated
157,-122.102257,47.667637,11,0.435,5.085,matched
158,-122.102196,47.667664,11,0.935,4.068,interpolated
159,-122.102142,47.667679,12,0.245,1.387,interpolated
160,-122.102066,47.667755,13,0.22,3.401,matched
161,-122.102127,47.667797,13,0.461,0.708,interpolated
162,-122.102211,47.667847,13,0.77,3.1,matched
163,-122.102303,47.667904,14,0.036,4.411,interpolated
164,-122.102425,47.66798,14,0.18,2.711,matched
165,-122.102554,47.66806,14,0.331,3.051,matched
166,-122.102699,47.66814,14,0.493,3.726,matched
167,-122.102867,47.668236,14,0.683,4.068,matched
168,-122.103027,47.668324,14,0.861,3.726,matched
169,-122.103218,47.668415,15,0.057,4.741,matched
170,-122.103409,47.668507,15,0.241,5.757,matched
171,-122.103615,47.668602,15,0.436,6.456,matched
172,-122.103798,47.668678,15,0.605,6.327,matched
173,-122.104012,47.668762,15,0.799,6.818,matched
174,-122.104233,47.66885,15,0.0,6.456,matched
175,-122.104454,47.668945,16,0.044,7.119,matched
176,-122.104645,47.669037,16,0.084,6.102,matched
177,-122.104843,47.669163,16,0.13,6.2,matched
178,-122.104988,47.669312,16,0.174,4.713,matched
179,-122.105095,47.669476,16,0.219,2.424,matched
180,-122.105194,47.669643,16,0.265,2.424,matched
181,-122.105293,47.669815,16,0.311,0.568,matched
182,-122.105392,47.669983,16,0.356,0.568,matched
183,-122.105492,47.670162,16,0.404,0.708,matched
184,-122.105598,47.67033,16,0.449,1.212,matched
185,-122.10569,47.670475,16,0.489,1.901,matched
186,-122.105835,47.670635,16,0.536,3.304,matched
187,-122.105988,47.670761,16,0.576,3.804,matched
188,-122.106163,47.670856,16,0.614,3.726,matched
189,-122.106384,47.670921,16,0.655,3.56,matched
190,-122.10659,47.670944,16,0.691,4.256,matched
191,-122.106842,47.670933,16,0.733,5.512,matched
192,-122.107063,47.670891,16,0.772,6.96,matched
193,-122.107262,47.67083,16,0.809,5.797,matched
194,-122.107445,47.670723,16,0.849,4.097,matched
195,-122.10759,47.670578,16,0.893,5.202,matched
196,-122.107697,47.670418,16,0.937,4.319,matched
197,-122.107796,47.670269,16,0.978,4.319,matched
198,-122.107903,47.670109,17,0.068,2.424,matched
199,-122.108017,47.669937,17,0.212,2.601,matched
200,-122.108124,47.669777,17,0.347,1.902,matched
201,-122.108238,47.669605,17,0.492,2.601,matched
202,-122.108337,47.669445,17,0.626,1.212,matched
203,-122.108437,47.669277,17,0.765,2.424,matched
204,-122.108543,47.669109,17,0.905,1.902,matched
205,-122.108658,47.668941,18,0.204,1.902,matched
206,-122.108795,47.668777,18,0.826,1.902,matched
207,-122.108978,47.668613,19,0.704,0.708,matched
208,-122.109169,47.668457,20,0.043,1.701,matched
209,-122.109383,47.668312,20,0.107,0.422,matched
210,-122.109619,47.668167,20,0.175,2.034,matched
211,-122.109871,47.668034,20,0.242,2.034,matched
212,-122.110153,47.667919,20,0.312,0.422,matched
213,-122.110428,47.66782,20,0.378,4.791,matched
214,-122.110718,47.667725,20,0.446,6.935,matched
215,-122.111023,47.667641,20,0.515,10.876,matched
216,-122.111313,47.667564,20,0.581,13.104,matched
217,-122.111641,47.667503,20,0.653,15.85,matched
218,-122.111946,47.66745,20,0.719,16.799,matched
219,-122.112289,47.6674,20,0.793,18.98,matched
220,-122.112579,47.667381,20,0.855,20.277,matched
221,-122.112946,47.66737,20,0.932,22.383,matched
222,-122.113266,47.667358,20,0.0,23.226,matched
223,-122.113663,47.667347,21,0.138,21.962,matched
224,-122.114029,47.667332,21,0.266,20.277,matched
225,-122.11441,47.667328,21,0.399,19.832,matched
226,-122.114792,47.66732,21,0.532,18.989,matched
227,-122.115158,47.667316,21,0.66,16.459,matched
228,-122.115524,47.667309,21,0.787,15.616,matched
229,-122.115906,47.667305,21,0.92,15.195,matched
230,-122.11628,47.667301,22,0.026,14.762,matched
231,-122.116684,47.667305,22,0.097,15.184,matched
232,-122.11705,47.667309,22,0.161,13.919,matched
233,-122.117416,47.667313,22,0.226,14.341,matched
234,-122.117798,47.667316,22,0.293,14.762,matched
235,-122.118164,47.66732,22,0.357,15.184,matched
236,-122.118568,47.66732,22,0.428,15.184,matched
237,-122.11895,47.667324,22,0.495,13.919,matched
238,-122.119316,47.667328,22,0.56,14.341,matched
239,-122.119698,47.667328,22,0.627,14.341,matched
240,-122.120064,47.667332,22,0.691,14.762,matched
241,-122.120453,47.667332,22,0.76,14.762,matched
242,-122.120834,47.667336,22,0.827,15.184,matched
243,-122.121201,47.667336,22,0.891,13.075,matched
244,-122.121567,47.667339,22,0.956,13.497,matched
245,-122.121933,47.667343,23,0.03,13.919,matched
246,-122.122299,47.667339,23,0.124,13.497,matched
247,-122.122665,47.667336,23,0.219,11.388,matched
248,-122.123032,47.667336,23,0.314,11.388,matched
249,-122.123398,47.667332,23,0.408,8.857,matched
250,-122.123787,47.667332,23,0.509,7.17,matched
251,-122.12413,47.667332,23,0.598,5.483,matched
252,-122.124496,47.667332,23,0.692,3.374,matched
253,-122.124847,47.667328,23,0.783,1.265,matched
254,-122.125214,47.667328,23,0.878,1.265,matched
255,-122.125565,47.667324,23,0.968,0.844,matched
256,-122.1259,47.667316,24,0.117,0.0,matched
257,-122.126266,47.667301,24,0.318,0.0,matched
258,-122.126617,47.667267,24,0.512,1.687,matched
259,-122.126961,47.667225,24,0.703,3.007,matched
260,-122.127296,47.667187,24,0.889,1.265,matched
261,-122.127625,47.667137,25,0.022,1.387,matched
262,-122.127975,47.667072,25,0.081,3.007,matched
263,-122.128304,47.667004,25,0.138,3.56,matched
264,-122.128624,47.666931,25,0.193,2.184,matched
265,-122.128937,47.666843,25,0.248,2.774,matched
266,-122.129242,47.666748,25,0.303,4.161,matched
267,-122.129547,47.666649,25,0.359,4.161,matched
268,-122.129837,47.666542,25,0.413,5.166,matched
269,-122.130112,47.666439,25,0.464,5.804,matched
270,-122.130386,47.666325,25,0.517,5.757,matched
271,-122.130646,47.66621,25,0.568,5.085,matched
272,-122.13092,47.666084,25,0.622,6.456,matched
273,-122.131149,47.665958,25,0.671,8.134,matched
274,-122.131386,47.665833,25,0.72,7.122,matched
275,-122.131622,47.665699,25,0.77,7.122,matched
276,-122.131859,47.665554,25,0.823,6.802,matched
277,-122.132072,47.665421,25,0.87,6.802,matched
278,-122.132278,47.665276,25,0.919,3.804,matched
279,-122.132484,47.665123,25,0.969,4.51,matched
280,-122.132668,47.664978,26,0.019,4.245,matched
281,-122.132828,47.664825,26,0.073,4.714,matched
282,-122.13298,47.664677,26,0.125,4.714,matched
283,-122.13311,47.664536,26,0.173,6.608,matched
284,-122.133247,47.664387,26,0.224,6.126,matched
285,-122.133369,47.664246,26,0.271,8.505,matched
286,-122.133484,47.664097,26,0.32,9.508,matched
287,-122.133614,47.663929,26,0.375,9.003,matched
288,-122.133736,47.663765,26,0.428,9.329,matched
289,-122.133827,47.663616,26,0.474,9.851,matched
290,-122.133942,47.663445,26,0.529,10.021,matched
291,-122.134048,47.663277,26,0.582,7.807,matched
292,-122.13414,47.663105,26,0.634,8.484,matched
293,-122.134224,47.662937,26,0.686,10.231,matched
294,-122.134323,47.662758,26,0.741,8.484,matched
295,-122.134422,47.662575,26,0.798,9.019,matched
296,-122.134521,47.662373,26,0.859,9.019,matched
297,-122.134621,47.662189,26,0.916,9.019,matched
298,-122.13472,47.662006,26,0.972,9.019,matched
299,-122.134834,47.661808,27,0.028,7.954,matched
300,-122.134956,47.66161,27,0.081,6.22,matched
301,-122.135071,47.661419,27,0.131,4.848,matched
302,-122.135193,47.661221,27,0.183,3.11,matched
303,-122.135315,47.661022,27,0.236,3.11,matched
304,-122.135429,47.660839,27,0.284,3.11,matched
305,-122.135544,47.660641,27,0.336,2.963,matched
306,-122.135666,47.660419,27,0.394,4.32,matched
307,-122.135773,47.660217,27,0.446,4.848,matched
308,-122.135895,47.66,27,0.503,5.385,matched
309,-122.136009,47.659798,27,0.556,6.06,matched
310,-122.136116,47.659595,27,0.608,6.743,matched
311,-122.13623,47.659382,27,0.664,6.596,matched
312,-122.136345,47.659176,27,0.717,7.273,matched
313,-122.136459,47.658966,27,0.772,6.06,matched
314,-122.136574,47.658764,27,0.825,6.061,matched
315,-122.136688,47.65855,27,0.88,4.848,matched
316,-122.136795,47.658352,27,0.931,5.385,matched
317,-122.136909,47.658146,27,0.985,6.061,matched
318,-122.137032,47.657948,28,0.046,5.531,matched
319,-122.137146,47.657764,28,0.106,5.531,matched
320,-122.137268,47.657566,28,0.171,5.531,matched
321,-122.13739,47.657383,28,0.231,3.804,matched
322,-122.137505,47.6572,28,0.291,3.804,matched
323,-122.137619,47.657021,28,0.349,2.601,matched
324,-122.137741,47.656826,28,0.413,1.902,matched
325,-122.13784,47.656658,28,0.467,1.902,matched
326,-122.137939,47.656475,28,0.526,2.424,matched
327,-122.138046,47.656292,28,0.585,1.902,matched
328,-122.138145,47.656113,28,0.643,1.756,matched
329,-122.138245,47.655941,28,0.698,1.902,matched
330,-122.138344,47.655777,28,0.751,1.902,matched
331,-122.138443,47.655609,28,0.806,1.902,matched
332,-122.13855,47.655449,28,0.858,0.0,matched
333,-122.138641,47.655304,28,0.906,0.708,matched
334,-122.138733,47.655155,28,0.954,1.212,matched
335,-122.138809,47.655025,28,0.996,1.902,matched
336,-122.138893,47.654888,29,0.38,1.756,matched
337,-122.138962,47.654774,29,0.725,2.424,matched
338,-122.139023,47.654675,30,0.081,1.902,matched
339,-122.139076,47.654594,30,0.858,3.637,interpolated
340,-122.139023,47.654572,31,0.086,4.256,matched
341,-122.138977,47.654568,31,0.15,11.098,interpolated
342,-122.138885,47.654556,31,0.279,13.687,matched
343,-122.138771,47.654541,31,0.441,14.103,interpolated
344,-122.138634,47.654526,31,0.634,14.103,matched
345,-122.138489,47.654507,31,0.839,13.687,matched
346,-122.138306,47.654488,32,0.191,13.687,matched
347,-122.138138,47.654465,32,0.66,12.856,matched
348,-122.137917,47.654438,33,0.131,13.687,matched
349,-122.137718,47.654415,33,0.393,12.856,matched
350,-122.137505,47.654388,33,0.676,13.687,matched
351,-122.137268,47.654358,33,0.99,12.027,matched
352,-122.137054,47.654335,34,0.36,13.271,matched
353,-122.136826,47.654308,34,0.76,11.932,matched
354,-122.136581,47.654278,35,0.438,12.557,matched
355,-122.136353,47.654247,36,0.211,12.856,matched
356,-122.136116,47.654221,36,0.753,11.613,matched
357,-122.13591,47.654194,37,0.071,10.681,matched
358,-122.135674,47.654163,37,0.241,9.02,matched
359,-122.13546,47.65414,37,0.393,10.265,matched
360,-122.135262,47.654114,37,0.536,9.02,matched
361,-122.135048,47.654087,37,0.689,7.677,matched
362,-122.134834,47.654064,37,0.842,7.26,matched
363,-122.134644,47.654041,37,0.978,4.674,matched
364,-122.134468,47.654037,38,0.206,5.905,matched
365,-122.134247,47.654041,38,0.521,6.327,matched
366,-122.134056,47.654045,38,0.792,6.772,matched
367,-122.133858,47.65406,39,0.037,6.772,matched
368,-122.133652,47.654079,39,0.179,6.843,matched
369,-122.13343,47.654102,39,0.333,7.677,matched
370,-122.133232,47.654125,39,0.47,6.428,matched
371,-122.133034,47.654148,39,0.608,7.26,matched
372,-122.132835,47.654167,39,0.746,7.677,matched
373,-122.132629,47.65419,39,0.889,8.094,matched
374,-122.132431,47.654213,40,0.031,8.93,matched
375,-122.132233,47.654232,40,0.194,7.26,matched
376,-122.13205,47.654251,40,0.344,7.677,matched
377,-122.131821,47.65427,40,0.531,5.932,matched
378,-122.131615,47.654289,40,0.7,6.428,matched
379,-122.131409,47.654308,40,0.869,4.674,matched
380,-122.131195,47.654331,41,0.061,5.6,matched
381,-122.130974,47.654354,41,0.313,4.256,matched
382,-122.13076,47.654377,41,0.556,4.674,matched
383,-122.130547,47.654404,41,0.8,6.013,matched
384,-122.130341,47.654427,42,0.058,4.674,matched
385,-122.130142,47.654446,42,0.434,5.093,matched
386,-122.129929,47.654472,42,0.841,6.428,matched
387,-122.12973,47.654495,43,0.081,5.187,matched
388,-122.129532,47.654518,43,0.22,5.6,matched
389,-122.129318,47.654545,43,0.371,6.843,matched
390,-122.129097,47.654572,43,0.527,6.013,matched
391,-122.128899,47.654598,43,0.667,7.26,matched
392,-122.1287,47.654621,43,0.806,6.013,matched
393,-122.128502,47.654644,43,0.946,6.843,matched
394,-122.128281,47.654671,44,0.198,6.013,matched
395,-122.128067,47.654694,44,0.49,6.843,matched
396,-122.127838,47.654716,44,0.802,5.512,matched
397,-122.127647,47.654736,45,0.081,6.013,matched
398,-122.12748,47.654755,45,0.379,6.013,matched
399,-122.127312,47.654778,45,0.68,7.121,matched
400,-122.127136,47.654812,45,0.0,5.341,matched
401,-122.127022,47.654865,46,0.155,6.774,matched
402,-122.126869,47.654942,46,0.367,8.135,matched
403,-122.126724,47.655014,46,0.568,9.149,matched
404,-122.126556,47.655102,46,0.805,9.483,matched
405,-122.126396,47.655186,47,0.026,9.483,matched
406,-122.126228,47.65527,47,0.214,9.483,matched
407,-122.12606,47.655354,47,0.402,7.452,matched
408,-122.125885,47.655441,47,0.598,8.135,matched
409,-122.125717,47.655525,47,0.786,8.135,matched
410,-122.125526,47.655621,47,1.0,7.452,matched
411,-122.125336,47.655716,48,0.079,6.774,matched
412,-122.125168,47.6558,48,0.148,6.774,matched
413,-122.124969,47.655899,48,0.231,6.774,matched
414,-122.124809,47.655979,48,0.297,6.102,matched
415,-122.124634,47.656067,48,0.37,6.774,matched
416,-122.124474,47.656147,48,0.436,4.411,matched
417,-122.124321,47.656223,48,0.499,3.805,matched
418,-122.124199,47.656311,48,0.558,4.51,matched
419,-122.124084,47.656391,48,0.613,6.905,matched
420,-122.123955,47.656483,48,0.676,5.498,matched
421,-122.12384,47.656567,48,0.732,5.498,matched
422,-122.123718,47.656651,48,0.79,5.498,matched
423,-122.123604,47.656734,48,0.846,5.498,matched
424,-122.123466,47.656834,48,0.913,5.498,matched
425,-122.123344,47.656918,48,0.971,5.102,matched
426,-122.123199,47.656998,49,0.119,4.068,matched
427,-122.123047,47.657066,49,0.336,4.424,matched
428,-122.122887,47.657139,49,0.563,3.051,matched
429,-122.122749,47.657204,49,0.761,2.396,matched
430,-122.122589,47.657276,49,0.989,3.409,matched
431,-122.122444,47.657341,50,0.246,5.757,matched
432,-122.122292,47.65741,50,0.521,5.44,matched
433,-122.122131,47.657478,50,0.806,6.102,matched
434,-122.121986,47.657543,51,0.054,5.44,matched
435,-122.121864,47.6576,51,0.234,6.457,matched
436,-122.121727,47.657661,51,0.433,8.137,matched
437,-122.121628,47.657707,51,0.579,7.79,interpolated
438,-122.121521,47.657753,51,0.732,7.119,matched
439,-122.121437,47.657791,51,0.854,7.473,interpolated
440,-122.121262,47.657772,52,0.19,3.805,matched
441,-122.121231,47.657749,52,0.261,0.0,interpolated
442,-122.121185,47.657707,52,0.38,1.415,matched
443,-122.121109,47.657646,52,0.563,0.708,interpolated
444,-122.121033,47.657585,52,0.747,0.0,matched
445,-122.120956,47.657513,52,0.95,0.708,interpolated
446,-122.120842,47.657421,53,0.127,0.708,matched
447,-122.120728,47.657326,53,0.287,1.902,matched
448,-122.120621,47.657215,53,0.458,0.568,matched
449,-122.120514,47.657108,53,0.625,1.415,matched
450,-122.120392,47.656982,53,0.821,0.568,matched
451,-122.120262,47.656853,54,0.013,2.831,matched
452,-122.120117,47.656727,54,0.13,1.415,matched
453,-122.11998,47.656593,54,0.249,1.415,matched
454,-122.11985,47.656475,54,0.357,1.415,matched
455,-122.119698,47.656342,54,0.481,1.415,matched
456,-122.11956,47.656212,54,0.598,0.708,matched
457,-122.119408,47.656078,54,0.721,0.708,matched
458,-122.11927,47.655949,54,0.838,0.0,matched
459,-122.119125,47.655819,54,0.957,0.708,matched
460,-122.11898,47.655682,55,0.195,0.0,matched
461,-122.118843,47.655552,55,0.476,0.708,matched
462,-122.118698,47.655418,55,0.768,0.0,matched
463,-122.118561,47.655289,56,0.024,0.708,matched
464,-122.118431,47.655151,56,0.166,0.0,matched
465,-122.118309,47.655022,56,0.3,0.708,matched
466,-122.118187,47.654884,56,0.439,0.0,matched
467,-122.118065,47.654751,56,0.575,0.0,matched
468,-122.11795,47.654617,56,0.71,0.0,matched
469,-122.117836,47.654469,56,0.856,0.0,matched
470,-122.117729,47.65432,56,1.0,0.708,matched
471,-122.117638,47.654171,57,0.236,1.212,matched
472,-122.117554,47.654034,57,0.454,0.0,matched
473,-122.11747,47.653889,57,0.682,1.212,matched
474,-122.117393,47.653732,57,0.924,0.568,matched
475,-122.117325,47.653568,58,0.386,0.568,matched
476,-122.117271,47.653416,58,0.895,0.568,matched
477,-122.117218,47.653252,59,0.303,0.0,matched
478,-122.117165,47.653084,59,0.686,0.0,matched
479,-122.117119,47.652935,60,0.015,1.136,matched
480,-122.117081,47.652771,60,0.231,1.756,matched
481,-122.117043,47.652599,60,0.458,0.568,matched
482,-122.117012,47.652435,60,0.673,1.756,matched
483,-122.116974,47.652271,60,0.89,1.756,matched
484,-122.116943,47.652115,61,0.334,1.705,matched
485,-122.11692,47.65197,61,1.0,2.312,matched
486,-122.116898,47.651833,62,0.4,0.0,matched
487,-122.116875,47.651718,62,0.734,0.568,matched
488,-122.116859,47.651634,62,0.978,0.568,interpolated
489,-122.116837,47.651546,63,0.397,1.756,matched
490,-122.116821,47.651478,63,0.735,1.756,interpolated
491,-122.116814,47.651463,63,0.813,1.212,interpolated
492,-122.116814,47.651451,63,0.867,1.137,matched
493,-122.116814,47.651451,63,0.867,1.137,interpolated
494,-122.116814,47.651451,63,0.867,1.137,interpolated
495,-122.116814,47.651451,63,0.867,1.137,interpolated
496,-122.116814,47.651451,63,0.867,1.137,interpolated
497,-122.116814,47.651451,63,0.867,1.137,interpolated
498,-122.116806,47.651432,63,0.963,0.568,interpolated
499,-122.116791,47.651382,64,0.168,0.568,interpolated
500,-122.116776,47.651333,64,0.365,0.568,matched
501,-122.11676,47.651283,64,0.562,0.568,interpolated
502,-122.116737,47.651203,64,0.88,1.212,matched
503,-122.116722,47.651134,65,0.235,0.568,interpolated
504,-122.116699,47.65107,65,0.644,1.212,matched
505,-122.116684,47.651016,65,0.977,0.0,interpolated
506,-122.116638,47.651009,66,0.311,4.777,matched
507,-122.116539,47.650993,67,0.0,9.583,interpolated
508,-122.116478,47.650978,67,0.261,8.901,matched
509,-122.116364,47.650955,67,0.739,8.503,interpolated
510,-122.116226,47.650902,68,0.189,7.12,matched
511,-122.116158,47.650867,68,0.359,6.457,interpolated
512,-122.116043,47.650787,68,0.687,5.798,matched
513,-122.115936,47.650719,68,0.981,5.102,matched
514,-122.115822,47.650654,69,0.355,5.424,matched
515,-122.1157,47.650589,69,0.75,3.402,matched
516,-122.11557,47.65052,70,0.237,2.396,matched
517,-122.11541,47.650467,70,0.876,4.161,matched
518,-122.115234,47.650414,72,0.027,3.561,matched
519,-122.115051,47.650372,72,0.12,4.368,matched
520,-122.114868,47.650333,72,0.212,3.963,matched
521,-122.114677,47.650291,72,0.309,4.943,matched
522,-122.114479,47.650246,72,0.41,5.341,matched
523,-122.114281,47.6502,72,0.51,5.742,matched
